epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2108,0.94769,1.64794,1.02742,0.8716,0.77286,0.8287,0.58492,0.94079,1.61906,1.02624,0.0006629,0.0006629,0.0006629
2,119.339,0.96224,0.97549,1.02811,0.87695,0.8603,0.89298,0.6388,0.94096,0.93339,1.0641,0.00126375,0.00126375,0.00126375
3,170.975,0.97607,0.80336,1.05088,0.9086,0.87739,0.92924,0.68952,0.92466,0.68051,1.05418,0.00179861,0.00179861,0.00179861
4,223.438,0.94737,0.71337,1.04743,0.88914,0.86249,0.92863,0.70034,0.90851,0.72795,1.05669,0.001703,0.001703,0.001703
5,269.562,0.93605,0.67195,1.03371,0.90905,0.9005,0.94428,0.7224,0.85495,0.65345,1.0228,0.001604,0.001604,0.001604
6,320.478,0.89971,0.62985,1.03242,0.91888,0.90955,0.95555,0.73786,0.83,0.55754,1.0085,0.001505,0.001505,0.001505
7,372.814,0.88923,0.59088,1.01892,0.91762,0.92921,0.95958,0.7518,0.8271,0.52475,0.9966,0.001406,0.001406,0.001406
8,424.785,0.86241,0.58131,1.0126,0.91345,0.9407,0.97099,0.77072,0.78999,0.47646,0.98496,0.001307,0.001307,0.001307
9,476.653,0.84283,0.53526,0.99611,0.90806,0.94295,0.96174,0.74573,0.82767,0.52985,0.99069,0.001208,0.001208,0.001208
10,528.243,0.83368,0.53015,0.99611,0.91302,0.94774,0.97058,0.77532,0.75622,0.45425,0.96194,0.001109,0.001109,0.001109
11,621.648,0.79452,0.48386,0.99319,0.9207,0.91256,0.96284,0.76106,0.81244,0.51167,0.97869,0.00101,0.00101,0.00101
12,674.602,0.78811,0.47887,0.99037,0.94774,0.92951,0.97514,0.77695,0.75902,0.46225,0.95966,0.000911,0.000911,0.000911
13,727.104,0.76479,0.45409,0.97893,0.93789,0.94774,0.97939,0.78725,0.75878,0.43283,0.95777,0.000812,0.000812,0.000812
14,781.79,0.74486,0.43503,0.96467,0.93845,0.95007,0.98065,0.79746,0.71901,0.40731,0.93508,0.000713,0.000713,0.000713
15,833.688,0.72245,0.42379,0.9599,0.94049,0.95308,0.97692,0.79561,0.71747,0.40098,0.93639,0.000614,0.000614,0.000614
16,885.925,0.70783,0.39919,0.94507,0.93394,0.95197,0.97805,0.79951,0.72131,0.40662,0.9367,0.000515,0.000515,0.000515
17,939.275,0.69078,0.38492,0.93699,0.9273,0.9608,0.98169,0.80223,0.70326,0.39176,0.9293,0.000416,0.000416,0.000416
18,987.589,0.68072,0.37705,0.93285,0.93172,0.96005,0.98134,0.81624,0.69948,0.3906,0.92453,0.000317,0.000317,0.000317
19,1036.55,0.66685,0.36184,0.92529,0.9374,0.95879,0.98239,0.81723,0.67427,0.36233,0.91489,0.000218,0.000218,0.000218
20,1086.51,0.64904,0.35198,0.91878,0.93704,0.95377,0.9828,0.82292,0.66304,0.35694,0.91059,0.000119,0.000119,0.000119
